"郵便番号","市区町村","町名","NURO 光","NURO 光 for マンション","NURO 光 10G","NURO 光 10Gs・6Gs"
"〒498-0000","弥富市","大字亀ケ地新田二重堤","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0000","弥富市","大字亀ケ地新田堤塘内法","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0000","弥富市","大字亀ケ地新田","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0000","弥富市","加稲九郎次町一ノ割","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0801","桑名郡木曽岬町","大字加路戸上加路戸","お申込みいただけません","提供エリア内です","お申込みいただけません","お申込みいただけません"
"〒498-0801","桑名郡木曽岬町","大字加路戸","お申込みいただけません","提供エリア内です","お申込みいただけません","お申込みいただけません"
"〒498-0802","桑名郡木曽岬町","大字見入","お申込みいただけません","提供エリア内です","お申込みいただけません","お申込みいただけません"
"〒498-0803","桑名郡木曽岬町","大字和泉上和泉","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0803","桑名郡木曽岬町","大字和泉下和泉","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0803","桑名郡木曽岬町","大字和泉","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0804","桑名郡木曽岬町","大字小和泉","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0805","桑名郡木曽岬町","大字小林","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0806","桑名郡木曽岬町","大字外平喜","お申込みいただけません","提供エリア内です","お申込みいただけません","お申込みいただけません"
"〒498-0807","桑名郡木曽岬町","大字西対海地","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0811","桑名郡木曽岬町","大字栄南栄","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0811","桑名郡木曽岬町","大字栄","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0812","桑名郡木曽岬町","大字中和泉","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0813","桑名郡木曽岬町","大字富田子新富田子","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0813","桑名郡木曽岬町","大字富田子東富田子","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0813","桑名郡木曽岬町","大字富田子","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0814","桑名郡木曽岬町","大字三崎","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0814","桑名郡木曽岬町","大字三崎川先","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0814","桑名郡木曽岬町","大字三崎豊崎","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0814","桑名郡木曽岬町","大字三崎福崎","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
"〒498-0815","桑名郡木曽岬町","大字白鷺","お申込みいただけません","お申込みいただけません","お申込みいただけません","お申込みいただけません"
