"郵便番号","市区町村","町名","NURO 光","NURO 光 for マンション","NURO 光 10G","NURO 光 10Gs・6Gs"
"〒510-0102","四日市市","楠町吉崎","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0103","四日市市","楠町北五味塚","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0104","四日市市","楠町南五味塚","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0105","四日市市","楠町南川","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0106","四日市市","楠町本郷","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0107","四日市市","楠町北一色","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0201","鈴鹿市","稲生町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-0251","鈴鹿市","徳田町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-0252","鈴鹿市","五祝町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-0259","鈴鹿市","中瀬古町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-0955","四日市市","北小松町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0956","四日市市","貝家町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0961","四日市市","波木町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-0971","四日市市","南小松町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒510-8101","三重郡朝日町","大字縄生朝日ケ丘","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-8101","三重郡朝日町","大字縄生","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-8102","三重郡朝日町","大字小向朝日ケ丘","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-8102","三重郡朝日町","大字小向","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-8103","三重郡朝日町","大字柿","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-8103","三重郡朝日町","大字柿梅ケ丘","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒510-8104","三重郡朝日町","大字埋縄","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒511-0125","桑名市","多度町力尾","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒511-0243","員弁郡東員町","大字穴太","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒511-0805","桑名市","大字下深谷部深谷町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
