"郵便番号","市区町村","町名","NURO 光","NURO 光 for マンション","NURO 光 10G","NURO 光 10Gs・6Gs"
"〒500-0000","岐阜市","柳津町東瀬外","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒500-0000","岐阜市","日野","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒500-0000","岐阜市","鶉","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒500-8211","岐阜市","日野東８丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒500-8211","岐阜市","日野東３丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒500-8285","岐阜市","南鶉６丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒501-0203","瑞穂市","馬場上光町１丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-0314","瑞穂市","十八条","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-0321","瑞穂市","横屋","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-0322","瑞穂市","古橋","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-0324","瑞穂市","呂久","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒501-1101","岐阜市","佐野１丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1101","岐阜市","佐野","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利１丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利５丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利６丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利７丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利４丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利３丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1102","岐阜市","岩利２丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
"〒501-1103","岐阜市","彦坂川北","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","提供エリア内です (要確認)"
