"郵便番号","市区町村","町名","NURO 光","NURO 光 for マンション","NURO 光 10G","NURO 光 10Gs・6Gs"
"〒420-0903","静岡市葵区","長尾","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒421-0101","静岡市駿河区","向敷地","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒421-1121","藤枝市","岡部町岡部","提供エリア内です (要確認)","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません"
"〒421-1132","藤枝市","岡部町三輪","提供エリア内です (要確認)","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません"
"〒422-8013","静岡市駿河区","古宿","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8016","静岡市駿河区","西平松","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8017","静岡市駿河区","大谷３丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8017","静岡市駿河区","大谷２丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8017","静岡市駿河区","大谷１丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8017","静岡市駿河区","大谷","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8033","静岡市駿河区","登呂５丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8033","静岡市駿河区","登呂４丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8037","静岡市駿河区","下島","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒422-8045","静岡市駿河区","西島","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0112","静岡市清水区","伊佐布","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0823","静岡市清水区","島崎町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0845","静岡市清水区","船原２丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0846","静岡市清水区","木の下町","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0866","静岡市清水区","船越２丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0866","静岡市清水区","船越３丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0866","静岡市清水区","船越","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0866","静岡市清水区","船越１丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0875","静岡市清水区","馬走","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0886","静岡市清水区","草薙１丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0886","静岡市清水区","草薙","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0886","静岡市清水区","草薙３丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒424-0886","静岡市清水区","草薙２丁目","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません","お申込みいただけません"
"〒426-0007","藤枝市","潮","提供エリア内です (要確認)","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません"
"〒426-0083","藤枝市","谷稲葉","提供エリア内です (要確認)","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません"
"〒426-0201","藤枝市","下藪田","提供エリア内です (要確認)","提供エリア内です (要確認)","提供エリア内です (要確認)","お申込みいただけません"
